Statistics,Machine  learning,Deep Learning,R language,Python Language,NLP,Data Engineering,Web Development,Coding,Software Development
statistical models ,linear regression,neural network,ggplot,python,nlp,aws,html,dsa,c+
statistical modeling,logistic regression,keras,shiny,flask,natural language processing,ec2,css,c+,java
probability,K means,theano,cran,django,topic modeling,amazon redshift,react,java,python
normal distribution,random forest,face detection,dplyr,pandas,lda,s3,npm,python,testing
poisson distribution,xgboost,convolutinal neural network,tidyr,numpy,named entity recognition,docker,postman,data structures,mean
 survival models,Pca,CNN,lubridate,scikitlearn,pos tagging,kubernetes,javascipt,algorithms,ruby
hypothesis testing,bayes,RNN,knitr,sklearn,word2vec,scala,jquery,,tdd
bayesian inference,decision trees,object detection,,matplotlib,word embedding,teradata,graphql,,
factor analysis,svd,yolo,,scipy,lsi,google big query,css preprocessors,,
forecasting,ensemble models,gpu,,bokeh,spacy,aws lambda,rest,,
markov chain,boltzman rnachine,cuda,,statsmodel,genism,aws emr,responsive design,,
monte carlo,,tensorflow,,,nltk,hive,github,,
,,pytorch,,,nmf,hadoop,git,,
,,lstm,,,doc2vec,sql,php,,
,,gan,,,cbow,,,,
,,opencv,,,bag of words,,,,
,,recurrent neural networks,,,skip gram,,,,
,,reinforcement learning,,,bert,,,,
,,recommender systems,,,sentiment analysis,,,,
,,decision theory,,,chat bot,,,,
